"method","factor","signature_raw","signature","r_RB","p_perm","q_BH","in_main_figure"
"NMF","N1 Tumor","Puleo_Desmoplastic","Puleo: Desmoplastic",-0.474096507167373,4.99975001249937e-05,0.000182423311266869,FALSE
"NMF","N1 Tumor","Puleo_Stroma Activated","Puleo: Stroma Activated",0.128166666666667,0.117694115294235,0.180553472326384,FALSE
"NMF","N1 Tumor","Puleo_Pure Basal-like","Puleo Basal-like",0.326583578653901,4.99975001249937e-05,0.000182423311266869,FALSE
"NMF","N1 Tumor","Puleo_tumor_Basal-like","Puleo: Basal-like",-0.0180565215799685,0.742212889355532,0.81132583046961,FALSE
"NMF","N1 Tumor","Puleo_tumor_Classical","Puleo: Immune Classical",0.329232150681768,4.99975001249937e-05,0.000182423311266869,FALSE
"NMF","N1 Tumor","Elyada_iCAF","Elyada: iCAF",-0.101285347043702,0.385830708464577,0.47351950584289,FALSE
"NMF","N1 Tumor","Elyada_myCAF","Elyada: myCAF",0.00303495311167956,0.983300834958252,0.983300834958252,FALSE
"NMF","N1 Tumor","SCISSORS_apCAF","SCISSORS: apCAF",-0.0368769074262462,0.898855057247138,0.926301013193615,FALSE
"NMF","N1 Tumor","SCISSORS_restCAF","SCISSORS: restCAF",-0.320562633655613,0.0208989550522474,0.0437419989465643,TRUE
"NMF","N1 Tumor","SCISSORS_proCAF","SCISSORS: proCAF",-0.605552712384852,4.99975001249937e-05,0.000182423311266869,TRUE
"NMF","N1 Tumor","SCISSORS_Perivascular","SCISSORS: Perivascular",-0.0672773536895674,0.79666016699165,0.853564464633911,FALSE
"NMF","N1 Tumor","SCISSORS_panCAF","SCISSORS: panCAF",-0.2675938025014,0.032298385080746,0.0627378703007296,FALSE
"NMF","N1 Tumor","SCISSORS_Basal-like","SCISSORS: Basal-like",0.215570400822199,0.0695465226738663,0.118097868691471,FALSE
"NMF","N1 Tumor","SCISSORS_Classical","SCISSORS: Classical",0.583442225126003,4.99975001249937e-05,0.000182423311266869,FALSE
"NMF","N1 Tumor","deCAF_proCAF","deCAF: proCAF",-0.577314343845371,0.0414979251037448,0.0794641119007879,TRUE
"NMF","N1 Tumor","deCAF_restCAF","deCAF: restCAF",-0.534531090723751,0.00644967751612419,0.0165848850414622,TRUE
"NMF","N2 Exocrine","PurIST_BasalLike","PurIST: Basal-like",-0.182301142566043,0.420228988550572,0.511089310399345,TRUE
"NMF","N2 Exocrine","PurIST_Classical","PurIST: Classical",0.30453618756371,0.143992800359982,0.217195844118409,TRUE
"NMF","N2 Exocrine","DECODER_BasalTumor","DECODER: Basal-like tumor",-0.259413223108024,4.99975001249937e-05,0.000182423311266869,FALSE
"NMF","N2 Exocrine","DECODER_ClassicalTumor","DECODER: Classical tumor",0.0595129965538428,0.205439728013599,0.283417301216157,FALSE
"NMF","N2 Exocrine","DECODER_ActivatedStroma","DECODER: Activated Stroma",-0.469437482595377,4.99975001249937e-05,0.000182423311266869,FALSE
